"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","DAPR","MDPR","PRCP","SNOW","SNWD","TMAX","TMIN","TOBS","WT01","WT03","WT04","WT05","WT06","WT11"
"USC00221738","CLEVELAND, MS US","33.7367","-90.7445","42.1","1980-04-25",,,"0.00","0.0","0.0","78","62","62",,"    1",,,,
"USC00221738","CLEVELAND, MS US","33.7367","-90.7445","42.1","1980-04-26",,,"1.46","0.0","0.0","62","52","56",,,,,,
"USC00221738","CLEVELAND, MS US","33.7367","-90.7445","42.1","1980-04-27",,,"0.00","0.0","0.0","66","50","62",,,,,,
"USC00221738","CLEVELAND, MS US","33.7367","-90.7445","42.1","1980-04-28",,,"0.00","0.0","0.0","69","47","65",,,,,,
"USC00221738","CLEVELAND, MS US","33.7367","-90.7445","42.1","1980-04-29",,,"0.00","0.0","0.0","78","48","68",,,,,,
"USC00221738","CLEVELAND, MS US","33.7367","-90.7445","42.1","1980-04-30",,,"0.00","0.0","0.0","79","52","73",,,,,,
"USC00221738","CLEVELAND, MS US","33.7367","-90.7445","42.1","1980-05-01",,,"0.22","0.0","0.0","72","58","68",,,,,,
"USC00221738","CLEVELAND, MS US","33.7367","-90.7445","42.1","1980-05-02",,,"0.03","0.0","0.0","75","57","72",,,,,,
"USC00221738","CLEVELAND, MS US","33.7367","-90.7445","42.1","1980-05-03",,,"0.00","0.0","0.0","79","57","70",,,,,,
"USC00221738","CLEVELAND, MS US","33.7367","-90.7445","42.1","1980-05-04",,,"0.00","0.0","0.0","81","51","77",,,,,,
"USC00221738","CLEVELAND, MS US","33.7367","-90.7445","42.1","1980-05-05",,,"0.00","0.0","0.0","86","54","80",,,,,,
"USC00221738","CLEVELAND, MS US","33.7367","-90.7445","42.1","1980-05-06",,,"0.00","0.0","0.0","88","57","85",,,,,,
"USC00221738","CLEVELAND, MS US","33.7367","-90.7445","42.1","1980-05-07",,,"0.00","0.0","0.0","85","62","68",,,,,,
"USC00221738","CLEVELAND, MS US","33.7367","-90.7445","42.1","1980-05-08",,,"0.03","0.0","0.0","72","56","68",,,,,,
"USC00221738","CLEVELAND, MS US","33.7367","-90.7445","42.1","1980-05-09",,,"0.00","0.0","0.0","73","47","70",,,,,,
"USC00221738","CLEVELAND, MS US","33.7367","-90.7445","42.1","1980-05-10",,,"0.00","0.0","0.0","84","49","80",,,,,,
"USC00221738","CLEVELAND, MS US","33.7367","-90.7445","42.1","1980-05-11",,,"0.00","0.0","0.0","86","66","80",,,,,,
"USC00221738","CLEVELAND, MS US","33.7367","-90.7445","42.1","1980-05-12",,,"0.00","0.0","0.0","80","70","70",,,,,,
"USC00221738","CLEVELAND, MS US","33.7367","-90.7445","42.1","1980-05-13",,,"0.00","0.0","0.0","73","63","71",,,,,,
"USC00221738","CLEVELAND, MS US","33.7367","-90.7445","42.1","1980-05-14",,,"0.00","0.0","0.0","74","60","68",,,,,,
"USC00221738","CLEVELAND, MS US","33.7367","-90.7445","42.1","1980-05-15",,,"0.04","0.0","0.0","72","58","66",,"    1",,,,
"USC00221738","CLEVELAND, MS US","33.7367","-90.7445","42.1","1980-05-16",,,"3.16","0.0","0.0","79","66","75",,"    1",,,,
"USC00221738","CLEVELAND, MS US","33.7367","-90.7445","42.1","1980-05-17",,,"0.04","0.0","0.0","84","66","76",,,,,,
"USC00221738","CLEVELAND, MS US","33.7367","-90.7445","42.1","1980-05-18",,,"0.00","0.0","0.0","87","62","80",,,,,,
"USC00221738","CLEVELAND, MS US","33.7367","-90.7445","42.1","1980-05-19",,,"0.00","0.0","0.0","80","66","66",,"    1",,,,
"USC00221738","CLEVELAND, MS US","33.7367","-90.7445","42.1","1980-05-20",,,"0.51","0.0","0.0","79","62","67",,,,,,
"USC00221738","CLEVELAND, MS US","33.7367","-90.7445","42.1","1980-05-21",,,"0.00","0.0","0.0","79","59","73",,,,,,
"USC00221738","CLEVELAND, MS US","33.7367","-90.7445","42.1","1980-05-22",,,"0.52","0.0","0.0","77","66","72",,"    1",,,,
"USC00221738","CLEVELAND, MS US","33.7367","-90.7445","42.1","1980-05-23",,,"0.00","0.0","0.0","79","61","73",,,,,,
"USC00221738","CLEVELAND, MS US","33.7367","-90.7445","42.1","1980-05-24",,,"0.00","0.0","0.0","87","61","84",,,,,,
"USC00221738","CLEVELAND, MS US","33.7367","-90.7445","42.1","1980-05-25",,,"0.00","0.0","0.0","92","66","70",,"    1",,,,
